Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Bed and household linens
- Daily change of linen
- Daily house cleaning
- Electricity, water, gas
- Garden maintenance
- Pool maintenance
- Pool towels
- Preparation of 3 meals daily
- Welcome drink","
- Airport (34 KM / 35 Minutes by car)
- Marrakech (175 KM / 2.5 Hours by car)
- Essaouira (20 Minutes by car)
- Agadir (3 Hours by car)",7,"
- Coffee table
- Fireplace in living room
- Large interior courtyard
- Living room
- Outdoor hot tub
- Reverse cycle air conditioner
- Sofa(s)","
- Cancellation insurance
- Cost of food (groceries, drinks...)
- Hammam
- Massage
- Pool heating : starting from 20.00 EUR Per Day
- Pre pool heating : starting from 140.00 EUR
- Service charge : starting from 70.00 EUR
- Tourism development tax - Mandatory : starting from 2.00 EUR Per Guest/night",7,"Outside Essaouira, Essaouira, Morocco, Africa",Riad Dharma,"
- Bar
- Hammam
- Heated outdoor swimming pool
- Outdoor private swimming pool
- Petanque area (game of boules)
- Plunge pool in the courtyard
- Private tennis court
- Satellite or cable or Internet TV
- TV",,,,"
- Cook",,"Authentic riad with typical Moroccan architecture in Essaouira, peaceful atmosphere, heatable private pool, tennis and pétanque, 7 bedrooms en suite.","
- Fully equipped kitchen",14,,"
- Mandatory service fees : 500.00 EUR","
- Safe deposit box","
- Children welcome",625,"
- Garden
- Lounge area in the courtyard
- Lounge area on the terrace
- Pool lounge chairs",500
"
- Cot + High Chair
- Electricity, water, gas
- Internet WIFI","
- Airport (100 KM)
- Beach (2 KM)
- Downtown (2 KM)
- Supermarket (2 KM)
- Restaurants / Shops (2 KM)",4,"
- Air conditioning in the living room
- Covered terrace - Veranda
- Dining room
- Hair dryers
- Living room","
- Bed and household linens : starting from 30.00 EUR Per Person
- Cancellation insurance
- House cleaning upon departure - Mandatory : starting from 300.00 EUR
- Pet : starting from 75.00 EUR Per Week
- Pool heating : starting from 100.00 EUR Per Week",5,"La Croix-Valmer, French Riviera, France, Europe",Villa Meridiane,"
- Bar
- Cards and board games
- Internet access (optic fiber, wifi)
- Music speaker
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Sound system
- TV",,,,,,"Beautiful 5 bedrooms house, located in La Croix-Valmer. Nice outdoor, garden, terraces, beautiful sea views, pool house and pool.","
- Blender, mixeur
- Coffee maker
- Cooker hood
- Dish washer
- Freezer
- Fully equipped kitchen
- Grill
- Induction stove
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator
- Toaster
- Washing machine",10,,"
- Tourism development tax : 3.50 EUR Per Adult/day","
- Pizza oven","
- Baby cot
- Board games for kids
- Children welcome
- Highchair
- Pool safety system",936,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outside shower
- Pool house
- Pool lounge chairs
- Summer kitchen
- Terrace(s)",1016
"
- Bed and household linens
- Breakfast
- Butler
- Car with driver
- Chef / Cook
- Cot + High Chair
- Daily house cleaning
- Domestic staff
- Electricity, water, gas
- Garden maintenance
- House cleaning upon departure
- Internet WIFI
- Mineral water
- Pool maintenance
- Pool towels
- Selection of bath products
- Tea and coffee
- Welcome dinner on arrival day","
- Airport (13 KM)
- Marrakech (11 KM)",5,"
- Air conditioning in the living room
- Fireplace in living room
- Private parking space
- Reverse cycle air conditioner","
- Baby sitting
- Cancellation insurance
- Full board
- Grocery delivery
- Half board
- Pool heating : starting from 100.00 EUR Per Day
- Pre-stocking of the house
- Tips for the staff
- Wine",5,"Palmeraie and nearby, Marrakech, Morocco, Africa",Villa Orane,"
- Bar
- Books
- Cards and board games
- Cinema room
- Fitness room
- Hammam
- Heated outdoor swimming pool
- Internet access (wifi)
- Library
- Massage room
- Music speaker
- Outdoor bar
- Petanque area
- Piano
- Pool with chlorine filtration
- Satellite or cable or Internet TV
- TV",,,,"
- Cook
- Fully staffed property
- Maid",,"Superb 5 bedroom villa, located in a quiet area, about 11km from the centre of Marrakech. Household staff, breakfast, cinema room, massage room, hammam, gym, garden, terrace, petanque strip and heatable outdoor pool.","
- Blender, mixeur
- Coffee machine (pod)
- Double refrigerator
- Fully equipped kitchen
- Ice maker
- Juice extractor",10,,,"
- Extinguisher
- Safe deposit box
- Wine cellar","
- Baby cot
- Child's trampoline
- Children welcome
- Highchair
- Pool roller shutter
- Stair guard",2500,"
- Great private park and garden
- Lounge area on the terrace
- Outdoor dining areas
- Parking
- Plancha
- Pool lounge chairs
- Terrace(s)
- Wheelchair friendly villa",2500
"
- Bed and household linens
- Change of linen twice / week
- Chef for breakfast service
- Daily house cleaning
- Electricity, water, gas","
- Mykonos (10 Minutes by car)
- Elia Beach (0.2 KM)",12,"
- Air conditioning
- Fireplace in living room","
- Boat rental
- Cancellation insurance
- Car rental
- Cost of food
- Driver
- Massage",12,"Mykonos South, Mykonos, Greece, Europe",Villa Eleki,"
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Sauna
- TV",,,,"
- Chef
- Cook
- Fully staffed property
- Maid",,"Wonderful property located in the south of Mykonos, 12 bedrooms with bathrooms, private swimming pool of 100 m2, large terraces, amazing sea views, only 200 meters from Elia Beach","
- Fully equipped kitchen
- Washing machine",24,,,"
- Safe deposit boxes
- Security system
- Suitable for wedding and events","
- Children welcome",7500,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",
"
- Bed and household linens
- Electricity, water, gas
- Housekeeping","
- Airport (23 KM)
- Golf (10 KM)
- Tennis (15 KM)
- San Josep (29 KM)
- Santa Eularia d'Es Riu (13 KM)
- Port (17 KM)",6,"
- Air conditioning
- Air conditioning in bedrooms only","
- Cancellation insurance
- Late check-in from 8pm : starting from 100.00 EUR Per Stay
- Property damage insurance (Mandatory)",6,"Ibiza North, Ibiza, Spain, Europe",Villa Yala,"
- Sound system
- Swimming pool
- Trampoline
- TV",,,"
- Table tennis",,,"Charming and fully renovated villa with 6 bedroom and 6 bedroom, swimming pool and large garden. The house is located near Santa Gertrudis.","
- Dish washer
- Dryer
- Fully equipped kitchen
- Washing machine",12,,,"
- Security system",,971,"
- Balinese style outdoor bed
- Barbecue
- Pool lounge chairs",1071
"
- Bed and household linens
- Electricity, water, gas
- Housekeeper from 9am to 1pm (except Sunday and holidays)",,3,"
- Outdoor hot tub","
- Cancellation insurance",3,"Cap Malheureux, Mauritius North, Mauritius, Africa",Penthouse Cap Soleil,"
- Internet access (wifi)
- Outdoor swimming pool
- Power generator
- TV",,,,,"
- Direct access to the beach","Magnificent apartment located in Cap Malheureux, 3 bedrooms with bathrooms, TV room, spacious terrace with jacuzzi, amazing sea view, direct access to the private beach.","
- Fully equipped kitchen
- Nespresso coffee machine",6,,,,,826,"
- Lounge chairs on the terrace
- Pool lounge chairs
- Private beach area
- Terrace(s)",412
"
- Accommodation only formula
- Bed and household linens
- Concierge service
- Electricity, water, gas
- Housecleaning upon departure
- Tourism development tax
- Welcome hamper
- Wood for the fireplace","
- Downtown (8 Minutes by car)
- Skilift (5 Minutes by car)
- Geneva (230 KM)
- Zurich (230 KM)",2,"
- Dining room
- Fireplace in living room
- Living room
- Lounge chair(s)
- Terrace or balcony","
- Airport transfer both ways
- Cancellation insurance
- Child care, Baby sitting
- Daily house cleaning : starting from 47.00 EUR Per Hour
- Extra bed : starting from 32.00 EUR Per Day
- Pet : starting from 16.00 EUR Per Day",3,"Zermatt, Swiss Alps, Switzerland, Europe",Chalet Kuri II,"
- Flatscreen TV
- Internet access (wifi)
- Satellite or cable or Internet TV
- Ski room","
- This house is self catering",,,,"
- Ski slope at walking distance","Superb penthouse, 3 bedrooms, ideally located close from Zermatt center, close from the slopes, amazing views, fully equipped, fireplace.","
- Fully equipped kitchen",6,,,,"
- Children welcome",625,"
- Terrace(s)",
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries",,3,"
- Dining area
- Private parking space
- Ski locker
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"La Rosière, Northern Alps, France, Europe",Appartement La Charpenterie 101,"
- Apple TV
- Internet access (wifi)
- Satellite or cable or Internet TV
- Shoe warmer","
- This house is self catering",,,,,"Fully renovated apartment in the heart of La Rosière, at the foot of the Espace San Bernardo slopes, with 3 bedrooms, ski locker, garage and panoramic views.","
- Combo washer-dryer
- Cooker hood
- Dish washer
- Fondue set
- Freezer
- Fully equipped kitchen
- Induction stove
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner",7,,,"
- Elevator",,530,"
- Balcony",427
"
- Beds made on arrival
- Champagne
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Toiletries","
- Ski school (10 M)
- Skilift : Grangettes (20 M)",2,"
- Dining area
- Living room
- Private parking space
- Ski locker
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",2,"Courchevel 1550, Courchevel, Northern Alps, France, Europe",Appartement Nala,"
- Fitness machine
- Fitness room
- Internet access (wifi)
- Musculation equipment
- Treadmill
- TV","
- This house is self catering",,,,"
- Close to ski schools
- Slopes less than 100 m away",Lovely appartement for 4 people with a terrace and the gym room from the residence.,"
- Coffee maker
- Cooker hood
- Dish washer
- Fondue set
- Fully equipped kitchen
- Ironing board
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Vitro-ceramic burners
- Washing machine",4,,,"
- Bike
- Elevator",,430,,
"
- Bed and household linens
- Change linen and towels (minimum stay of 2 weeks.)
- Electricity, water, gas
- Internet WIFI
- Weekly house cleaning (2 weeks stay)","
- Beach (500 MILES)
- Ibiza (25 KM)",4,"
- Air conditioning in bedrooms only
- Fireplace in living room
- Living room","
- Baby cot : starting from 10.00 EUR Per Day
- Cancellation insurance
- Chef / Cook
- Child care, Baby sitting
- Driver
- Extra bed : starting from 20.00 EUR Per Guest/day
- High chair : 5.00 EUR Per Day
- Late check-in : starting from 100.00 EUR Per Rental
- Late check-in from 8pm : starting from 100.00 EUR Per Stay
- Tourism development tax",4,"Ibiza West, Ibiza, Spain, Europe",Villa Wolf,"
- Internet access (wifi)
- Satellite or cable or Internet TV
- Swimming pool
- TV",,,,,,"Very charming villa located just minutes from the beach at Cala Vadella, 3 bedrooms and 4 bathrooms, private swimming pool, amazing sea views","
- Fully equipped kitchen",8,,,"
- Security system",,1580,"
- Barbecue
- Parking
- Terrace(s)",
"
- Bed and household linens
- Electricity, water, gas
- House cleaning upon departure
- Internet WIFI","
- Supermarket (10 Minutes Walk)
- Restaurants / Shops (10 Minutes Walk)",5,"
- Air conditioning in bedrooms only
- Armchair(s)
- Beach / Pool towels
- Coffee table
- Dining &amp; living room is the same area
- Hair dryer
- Heating in bedrooms
- Housekeeping 5 days per week
- Laundry room
- Living room
- Lounge chair(s)
- Phone or fax for incoming calls only
- Separate staff apartment
- Separate staff entrance
- Sofa(s)
- Terrace or balcony
- Terraces","
- Cancellation insurance",5,"Capri, Amalfi Coast, Italy, Europe",Villa ai Bagni di Tiberio,"
- Cards and board games
- Internet access (wifi)
- Ping-Pong table
- Table for playing cards
- TV",,,,,"
- Beach in ten
- Direct access to the beach
- Direct sea access","Superb and exclusive villa in Capri with 5 bedrooms and 5 bathrooms, garden, direct access to the sea and only 5 minutes from the beach of Bagni di Tiberio","
- Blender, mixeur
- Coffee maker
- Coffee maker
- Combo fridge - freezer
- Cooker hood
- Cooking utensils
- Cooler
- Dish washer
- Dishes/Cutlery
- Eat-in kitchen
- Espresso machine
- Freezer
- Fully equipped kitchen
- Heat &amp; hot water are electric
- Independent kitchen
- Iron
- Juicer
- Kettle
- Mosquito magnets
- Oven
- Property has 2 kitchens
- State of the art kitchen equipment
- Toaster
- Vacuum cleaner
- Washing machine",9,,,"
- Beach chairs
- Heating
- Safe deposit box","
- Children welcome",2053,"
- Balcony
- Garden
- Great private park and garden
- Lounge area in the courtyard
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Private beach area
- Terrace(s)",
"
- Bed and household linens
- Bi-weekly change of linen
- Daily house cleaning
- Electricity, water, gas
- Housecleaning upon departure
- Pool maintenance
- Tourism development tax
- Welcome hamper",,3,"
- Air conditioning
- Central heating
- Dining &amp; living room is the same area
- Fireplace in living room
- Indoor hot tub
- Living room
- Lounge chair(s)
- Private parking space
- Terrace or balcony
- Terraces
- TV lounge","
- Baby sitting
- Breakfast
- Car rental
- Chef/Cook
- Cooking lessons of local cuisine
- Daily change of towels
- Daily pastries delivery
- Grocery shopping and delivery service
- Massage
- Spa treatments",3,"Lefkada, Ionian Sea, Greece, Europe",Villa Aaron,"
- DVD player
- Internet access (wifi)
- Private pool
- Satellite or cable or Internet TV
- Stereo sound system
- Swimming pool
- TV",,,,,,"Traditional Lefkadas style villa, 3 ensuite bedrooms, jacuzzi, exceptional view of the sea and the islands of Ithaca and Kefalonia, swimming pool","
- Fully equipped kitchen",8 (10 max.),,,,"
- Children welcome",767,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",388
"
- Air conditioning
- Bed and household linens
- Cleaning two times per week
- Electricity, water, gas
- House cleaning upon departure
- Internet WIFI
- Laundry service
- Sheets and towels changed once a week
- Villa Manager
- Welcome drink","
- Beach (7 Minutes Walk)
- Closest train station (0.5 KM)
- Naples Airport (50 Minutes by car)",6,"
- Air conditioning
- Dining room
- Fireplace in living room
- Hair dryers
- Indoor hot tub
- Living room
- Terrace","
- Airport transfer
- Breakfast
- Cancellation insurance
- Car rental
- Car with driver
- Chef / Cook
- Cooking lessons of local cuisine
- Excursions
- Extra change of bath towels
- Yoga trainer",6,"Sorrento Coast, Amalfi Coast, Italy, Europe",Villa Squisita,"
- Fitness room
- Internet access (wifi)
- Library
- Outdoor swimming pool
- Piano
- Satellite or cable or Internet TV
- Sauna
- TV",,,,,,"Beautiful villa located in Sorrento in Italy, with 5 bedrooms and 5 bathrooms, gym, spa with sauna and jacuzzi, garden, solarium and pool.","
- Coffee maker
- Dish washer
- Freezer
- Fully equipped kitchen
- Ice maker
- Refrigerator
- Washing machine",10 (12 max.),,,"
- Elevator","
- Children welcome",2857,"
- Barbecue
- Garden
- Outdoor dining areas
- Parking
- Pool lounge chairs",
"
- Bed and household linens
- Beds made on arrival
- Concierge service
- Electricity, water, gas
- Housecleaning upon departure","
- Closest bus station (0.35 KM)
- Ski school (0.23 KM)
- Ski slope (0.35 KM)",3,"
- Fireplace
- Hair dryer
- Lounge chair(s)
- Reading room
- Study room or den","
- Cancellation insurance
- Transfer",4,"Val d'Isère, Northern Alps, France, Europe",Appartement Les Andes - A3098,"
- Books
- TV","
- This house is self catering",,,,"
- Slopes less than 500 m away","Intimate, refined flat in the centre of Val d'Isère with fireplace, 4 bedrooms and balcony.","
- Cooker hood
- Dish washer
- Dishes/Cutlery
- Dryer
- Fully equipped kitchen
- Kettle
- Microwave
- Oven
- Raclette
- Refrigerator
- Toaster
- Vacuum cleaner
- Washing machine",8,,,"
- Heating
- Smoke detector
- Wine cellar",,829,"
- Balcony
- Covered parking
- Free parking",629
